NAME,Borough.x,GSS_CODE
Barking and Dagenham,BARKING & DAGENHAM,E09000002
Barnet,BARNET,E09000003
Bexley,BEXLEY,E09000004
Brent,BRENT,E09000005
Bromley,BROMLEY,E09000006
Camden,CAMDEN,E09000007
City of London,CITY OF LONDON,E09000001
Croydon,CROYDON,E09000008
Ealing,EALING,E09000009
Enfield,ENFIELD,E09000010
Greenwich,GREENWICH,E09000011
Hackney,HACKNEY,E09000012
Hammersmith and Fulham,HAMMERSMITH & FULHAM,E09000013
Haringey,HARINGEY,E09000014
Harrow,HARROW,E09000015
Havering,HAVERING,E09000016
Hillingdon,HILLINGDON,E09000017
Hounslow,HOUNSLOW,E09000018
Islington,ISLINGTON,E09000019
Kensington and Chelsea,KENSINGTON & CHELSEA,E09000020
Kingston upon Thames,KINGSTON-UPON-THAMES,E09000021
Lambeth,LAMBETH,E09000022
Lewisham,LEWISHAM,E09000023
Merton,MERTON,E09000024
Newham,NEWHAM,E09000025
Redbridge,REDBRIDGE,E09000026
Richmond upon Thames,RICHMOND-UPON-THAMES,E09000027
Southwark,SOUTHWARK,E09000028
Sutton,SUTTON,E09000029
Tower Hamlets,TOWER HAMLETS,E09000030
Waltham Forest,WALTHAM FOREST,E09000031
Wandsworth,WANDSWORTH,E09000032
Westminster,WESTMINSTER,E09000033